Epoch,Name,Value
49,epoch_time,121.834515,1648745676.792911
49,epoch_avg_time,130.725420,1648745676.793005
49,accuracy,0.427333,1648745676.793043
49,loss,275.997467,1648745676.793064
49,val_acc,0.376726,1648745676.793083
49,val_loss,7.749211,1648745676.793101
50,epoch_time,122.020297,1648745799.350303
50,epoch_avg_time,130.554731,1648745799.350411
50,accuracy,0.435778,1648745799.350436
50,loss,5.735542,1648745799.350457
50,val_acc,0.579961,1648745799.350505
50,val_loss,0.808854,1648745799.350553
51,epoch_time,150.706420,1648745960.131868
51,epoch_avg_time,130.942264,1648745960.144757
51,accuracy,0.594222,1648745960.144804
51,loss,1.049713,1648745960.144826
51,val_acc,0.623377,1648745960.144846
51,val_loss,0.786864,1648745960.144864
52,epoch_time,121.731843,1648746085.669018
52,epoch_avg_time,130.768482,1648746085.669114
52,accuracy,0.668667,1648746085.669152
52,loss,0.853249,1648746085.669173
52,val_acc,0.660749,1648746085.669221
52,val_loss,0.686819,1648746085.669268
53,epoch_time,121.894821,1648746210.039044
53,epoch_avg_time,130.604155,1648746210.039141
53,accuracy,0.699111,1648746210.039181
53,loss,0.796655,1648746210.039218
53,val_acc,0.747036,1648746210.039267
53,val_loss,0.581369,1648746210.039299
54,epoch_time,121.914740,1648746333.673479
54,epoch_avg_time,130.446166,1648746333.673564
54,accuracy,0.712889,1648746333.673609
54,loss,0.732723,1648746333.673661
54,val_acc,0.729783,1648746333.673697
54,val_loss,0.600959,1648746333.673721
55,epoch_time,122.026416,1648746456.660917
55,epoch_avg_time,130.295813,1648746456.661011
55,accuracy,0.725556,1648746456.661050
55,loss,0.712062,1648746456.661072
55,val_acc,0.726054,1648746456.661120
55,val_loss,0.581638,1648746456.661168
56,epoch_time,121.832272,1648746579.284255
56,epoch_avg_time,130.147330,1648746579.284334
56,accuracy,0.721333,1648746579.284359
56,loss,0.706858,1648746579.284380
56,val_acc,0.749499,1648746579.284414
56,val_loss,0.555728,1648746579.284461
57,epoch_time,121.921795,1648746701.697496
57,epoch_avg_time,130.005511,1648746701.697575
57,accuracy,0.732222,1648746701.697601
57,loss,0.673335,1648746701.697637
57,val_acc,0.776238,1648746701.697671
57,val_loss,0.525690,1648746701.697689
58,epoch_time,121.704774,1648746823.920207
58,epoch_avg_time,129.864820,1648746823.920287
58,accuracy,0.758889,1648746823.920312
58,loss,0.658157,1648746823.920377
58,val_acc,0.747934,1648746823.920410
58,val_loss,0.554128,1648746823.920429
59,epoch_time,121.950223,1648746946.249892
59,epoch_avg_time,129.732910,1648746946.250003
59,accuracy,0.749778,1648746946.250029
59,loss,0.654245,1648746946.250080
59,val_acc,0.789784,1648746946.250130
59,val_loss,0.533328,1648746946.250149
60,epoch_time,122.125917,1648747068.778570
60,epoch_avg_time,129.608205,1648747068.778666
60,accuracy,0.757111,1648747068.778705
60,loss,0.629619,1648747068.778742
60,val_acc,0.791587,1648747068.778791
60,val_loss,0.489294,1648747068.778824
61,epoch_time,146.260015,1648747229.496817
61,epoch_avg_time,129.876783,1648747229.496912
61,accuracy,0.758222,1648747229.496951
61,loss,0.623753,1648747229.496988
61,val_acc,0.769685,1648747229.497036
61,val_loss,0.624182,1648747229.497068
62,epoch_time,121.817465,1648747354.519237
62,epoch_avg_time,129.748857,1648747354.519327
62,accuracy,0.763333,1648747354.519352
62,loss,0.614194,1648747354.519372
62,val_acc,0.789370,1648747354.519436
62,val_loss,0.487561,1648747354.519469
63,epoch_time,121.809932,1648747478.408345
63,epoch_avg_time,129.624812,1648747478.408457
63,accuracy,0.763333,1648747478.408483
63,loss,0.604911,1648747478.408520
63,val_acc,0.775551,1648747478.408568
63,val_loss,0.591641,1648747478.408587
64,epoch_time,121.980406,1648747601.824120
64,epoch_avg_time,129.507205,1648747601.824215
64,accuracy,0.771778,1648747601.824255
64,loss,0.589741,1648747601.824276
64,val_acc,0.765595,1648747601.824325
64,val_loss,0.574825,1648747601.824373
65,epoch_time,122.056242,1648747724.686167
65,epoch_avg_time,129.394312,1648747724.689022
65,accuracy,0.778444,1648747724.689057
65,loss,0.579362,1648747724.689079
65,val_acc,0.826848,1648747724.689099
65,val_loss,0.480721,1648747724.689118
66,epoch_time,121.923661,1648747847.526774
66,epoch_avg_time,129.282810,1648747847.526885
66,accuracy,0.773778,1648747847.526912
66,loss,0.594054,1648747847.526968
66,val_acc,0.789370,1648747847.527003
66,val_loss,0.560620,1648747847.527022
67,epoch_time,122.024391,1648747970.184890
67,epoch_avg_time,129.176068,1648747970.184972
67,accuracy,0.785556,1648747970.184999
67,loss,0.548606,1648747970.185023
67,val_acc,0.739806,1648747970.185042
67,val_loss,0.571639,1648747970.185060
68,epoch_time,122.127661,1648748092.912995
68,epoch_avg_time,129.073917,1648748092.913081
68,accuracy,0.769778,1648748092.913111
68,loss,0.580530,1648748092.913152
68,val_acc,0.774951,1648748092.913172
68,val_loss,0.497050,1648748092.913192
